"Commuting destination by main mode of commuting, age and gender: Canada, provinces and territories, census divisions and census subdivisions"
"Frequency: Occasional"
"Table: 98-10-0462-01"
"Release date: 2022-11-30"
"Geography: Canada, Province or territory, Census division, Census subdivision"
"Universe: Employed labour force aged 15 years and over having a usual place of work, in private households, 2021 Census — 25% Sample data"
"Variable List: Main mode of commuting (11A), Age (15A), Gender (3), Statistics (3), Commuting destination (5)"

,"Age (15A) 1","15 to 24 years",,,,
,"Gender (3) 2 3","Total - Gender",,,,
,"Statistics (3)","Count",,,,
,"Commuting destination (5) 5","Total - Commuting destination","Commute within census subdivision (CSD) of residence","Commute to a different census subdivision (CSD) within census division (CD) of residence","Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence","Commute to a different province or territory"
"Geography","Main mode of commuting (11A) 4","2021","2021","2021","2021","2021"
"East Kootenay i4569","Total - Main mode of commuting 6","2,745","1,765","790","50","140"
,"Car, truck or van","2,270","1,360","760","35","120"
,"Driver (only worker in vehicle)","1,660","915","610","25","110"
,"Passenger (only worker in vehicle)","330","250","85","0","0"
,"2 or more persons shared the ride to work","280","195","70","10","0"
,"Driver with 1 or more workers","100","70","20","0","0"
,"Passenger with 2 or more workers","175","125","45","10","0"
,"Sustainable transportation","445","400","30","10","15"
,"Public transit","65","40","15","0","0"
,"Active transportation","385","360","20","0","0"
,"Other method","25","10","0","0","0"
"Central Kootenay i4591","Total - Main mode of commuting 6","2,075","1,120","835","95","25"
,"Car, truck or van","1,590","705","785","75","20"
,"Driver (only worker in vehicle)","1,085","490","545","35","20"
,"Passenger (only worker in vehicle)","240","150","85","0","0"
,"2 or more persons shared the ride to work","265","70","155","40","0"
,"Driver with 1 or more workers","60","20","25","10","0"
,"Passenger with 2 or more workers","205","45","130","30","0"
,"Sustainable transportation","470","405","45","15","0"
,"Public transit","65","40","20","0","0"
,"Active transportation","400","365","30","10","0"
,"Other method","20","15","0","0","0"
"Kootenay Boundary i4613","Total - Main mode of commuting 6","1,120","515","440","110","50"
,"Car, truck or van","915","380","410","90","35"
,"Driver (only worker in vehicle)","645","250","300","75","15"
,"Passenger (only worker in vehicle)","130","75","40","0","0"
,"2 or more persons shared the ride to work","145","55","70","15","0"
,"Driver with 1 or more workers","50","20","15","0","0"
,"Passenger with 2 or more workers","100","35","55","0","0"
,"Sustainable transportation","190","140","20","20","15"
,"Public transit","50","30","0","0","10"
,"Active transportation","140","110","15","15","0"
,"Other method","10","0","10","0","0"
"Okanagan-Similkameen i4627","Total - Main mode of commuting 6","3,250","2,060","945","205","35"
,"Car, truck or van","2,510","1,420","875","185","25"
,"Driver (only worker in vehicle)","1,695","865","660","155","20"
,"Passenger (only worker in vehicle)","515","380","120","10","0"
,"2 or more persons shared the ride to work","295","180","100","25","0"
,"Driver with 1 or more workers","65","40","15","15","0"
,"Passenger with 2 or more workers","230","140","85","10","0"
,"Sustainable transportation","690","600","55","25","10"
,"Public transit","80","60","0","15","0"
,"Active transportation","615","545","55","0","0"
,"Other method","50","35","15","0","0"
"Fraser Valley i4652","Total - Main mode of commuting 6","15,720","11,100","2,540","2,040","40"
,"Car, truck or van","13,460","9,185","2,360","1,885","30"
,"Driver (only worker in vehicle)","9,355","6,125","1,835","1,365","30"
,"Passenger (only worker in vehicle)","2,290","1,945","230","110","0"
,"2 or more persons shared the ride to work","1,810","1,110","290","410","0"
,"Driver with 1 or more workers","550","270","110","165","0"
,"Passenger with 2 or more workers","1,260","840","180","240","0"
,"Sustainable transportation","1,970","1,675","150","130","15"
,"Public transit","860","660","85","105","0"
,"Active transportation","1,115","1,010","65","30","10"
,"Other method","285","240","25","20","0"
"Greater Vancouver i4718","Total - Main mode of commuting 6","103,350","54,475","46,630","1,605","640"
,"Car, truck or van","61,900","30,645","29,735","1,320","205"
,"Driver (only worker in vehicle)","42,985","19,950","21,835","1,040","165"
,"Passenger (only worker in vehicle)","10,950","7,040","3,800","95","15"
,"2 or more persons shared the ride to work","7,965","3,655","4,095","185","30"
,"Driver with 1 or more workers","1,960","825","1,065","60","10"
,"Passenger with 2 or more workers","6,005","2,830","3,030","125","20"
,"Sustainable transportation","39,850","22,695","16,535","250","380"
,"Public transit","28,725","12,785","15,570","190","180"
,"Active transportation","11,130","9,905","965","60","195"
,"Other method","1,600","1,140","365","35","60"
"Capital i4757","Total - Main mode of commuting 6","18,295","8,505","9,300","390","100"
,"Car, truck or van","11,710","4,590","6,775","310","40"
,"Driver (only worker in vehicle)","8,455","3,035","5,135","265","30"
,"Passenger (only worker in vehicle)","1,880","1,030","835","15","0"
,"2 or more persons shared the ride to work","1,370","525","810","30","0"
,"Driver with 1 or more workers","445","145","280","15","0"
,"Passenger with 2 or more workers","930","380","530","15","0"
,"Sustainable transportation","6,305","3,745","2,450","60","60"
,"Public transit","2,940","1,030","1,850","40","25"
,"Active transportation","3,365","2,715","595","25","30"
,"Other method","275","175","75","20","0"
"Cowichan Valley i4785","Total - Main mode of commuting 6","3,165","985","1,590","585","15"
,"Car, truck or van","2,700","685","1,480","535","0"
,"Driver (only worker in vehicle)","1,910","450","1,030","430","0"
,"Passenger (only worker in vehicle)","435","160","250","25","0"
,"2 or more persons shared the ride to work","355","75","200","80","0"
