"REF_DATE","GEO","DGUID","Age (15A)","Gender (3)","Statistics (3)","Main mode of commuting (11A)","Commuting destination (5)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Total - Main mode of commuting","Total - Commuting destination","","0","units","0","","4569.2.1.1.1.1","2745","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Total - Main mode of commuting","Commute within census subdivision (CSD) of residence","","0","units","0","","4569.2.1.1.1.2","1765","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Total - Main mode of commuting","Commute to a different census subdivision (CSD) within census division (CD) of residence","","0","units","0","","4569.2.1.1.1.3","790","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Total - Main mode of commuting","Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence","","0","units","0","","4569.2.1.1.1.4","50","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Total - Main mode of commuting","Commute to a different province or territory","","0","units","0","","4569.2.1.1.1.5","140","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Car, truck or van","Total - Commuting destination","","0","units","0","","4569.2.1.1.2.1","2270","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Car, truck or van","Commute within census subdivision (CSD) of residence","","0","units","0","","4569.2.1.1.2.2","1360","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Car, truck or van","Commute to a different census subdivision (CSD) within census division (CD) of residence","","0","units","0","","4569.2.1.1.2.3","760","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Car, truck or van","Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence","","0","units","0","","4569.2.1.1.2.4","35","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Car, truck or van","Commute to a different province or territory","","0","units","0","","4569.2.1.1.2.5","120","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Driver (only worker in vehicle)","Total - Commuting destination","","0","units","0","","4569.2.1.1.3.1","1660","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Driver (only worker in vehicle)","Commute within census subdivision (CSD) of residence","","0","units","0","","4569.2.1.1.3.2","915","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Driver (only worker in vehicle)","Commute to a different census subdivision (CSD) within census division (CD) of residence","","0","units","0","","4569.2.1.1.3.3","610","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Driver (only worker in vehicle)","Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence","","0","units","0","","4569.2.1.1.3.4","25","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Driver (only worker in vehicle)","Commute to a different province or territory","","0","units","0","","4569.2.1.1.3.5","110","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Passenger (only worker in vehicle)","Total - Commuting destination","","0","units","0","","4569.2.1.1.4.1","330","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Passenger (only worker in vehicle)","Commute within census subdivision (CSD) of residence","","0","units","0","","4569.2.1.1.4.2","250","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Passenger (only worker in vehicle)","Commute to a different census subdivision (CSD) within census division (CD) of residence","","0","units","0","","4569.2.1.1.4.3","85","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","2 or more persons shared the ride to work","Total - Commuting destination","","0","units","0","","4569.2.1.1.5.1","280","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","2 or more persons shared the ride to work","Commute within census subdivision (CSD) of residence","","0","units","0","","4569.2.1.1.5.2","195","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","2 or more persons shared the ride to work","Commute to a different census subdivision (CSD) within census division (CD) of residence","","0","units","0","","4569.2.1.1.5.3","70","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","2 or more persons shared the ride to work","Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence","","0","units","0","","4569.2.1.1.5.4","10","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Driver with 1 or more workers","Total - Commuting destination","","0","units","0","","4569.2.1.1.6.1","100","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Driver with 1 or more workers","Commute within census subdivision (CSD) of residence","","0","units","0","","4569.2.1.1.6.2","70","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Driver with 1 or more workers","Commute to a different census subdivision (CSD) within census division (CD) of residence","","0","units","0","","4569.2.1.1.6.3","20","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Passenger with 2 or more workers","Total - Commuting destination","","0","units","0","","4569.2.1.1.7.1","175","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Passenger with 2 or more workers","Commute within census subdivision (CSD) of residence","","0","units","0","","4569.2.1.1.7.2","125","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Passenger with 2 or more workers","Commute to a different census subdivision (CSD) within census division (CD) of residence","","0","units","0","","4569.2.1.1.7.3","45","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Passenger with 2 or more workers","Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence","","0","units","0","","4569.2.1.1.7.4","10","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Sustainable transportation","Total - Commuting destination","","0","units","0","","4569.2.1.1.8.1","445","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Sustainable transportation","Commute within census subdivision (CSD) of residence","","0","units","0","","4569.2.1.1.8.2","400","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Sustainable transportation","Commute to a different census subdivision (CSD) within census division (CD) of residence","","0","units","0","","4569.2.1.1.8.3","30","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Sustainable transportation","Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence","","0","units","0","","4569.2.1.1.8.4","10","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Sustainable transportation","Commute to a different province or territory","","0","units","0","","4569.2.1.1.8.5","15","","","","0"
